Entity,Code,Year,Annual_CO2_emissions,Population,Continent,Emissions_per_Capita
Finland,FIN,2015,44186000.0,5479461,Europe,8.063931835631278
France,FRA,2015,331414430.0,63809769,Europe,5.1937882740180426
French Polynesia,PYF,2015,846384.0,291787,Oceania,2.900691257663981
Gabon,GAB,2015,6475558.0,2028517,Africa,3.192262130413499
Gambia,GMB,2015,582576.0,2253133,Africa,0.25856263256541
Georgia,GEO,2015,9756186.0,3771132,Asia,2.587070937851022
Germany,DEU,2015,798084740.0,82073226,Europe,9.724057148673552
Ghana,GHA,2015,14568119.0,28870939,Africa,0.5045945682611848
Greece,GRC,2015,74927624.0,10806641,Europe,6.933479515050051
Greenland,GRL,2015,525712.0,55895,North America,9.405349315681187
Grenada,GRD,2015,260144.0,118980,North America,2.18645150445453
Guatemala,GTM,2015,15951887.0,16001107,North America,0.9969239628233222
Guinea,GIN,2015,2451216.0,11625998,Africa,0.21083918989148287
Guinea-Bissau,GNB,2015,278464.0,1788919,Africa,0.15566048546636266
Guyana,GUY,2015,2003336.0,755031,South America,2.6533162214531587
Haiti,HTI,2015,2660657.0,10563757,North America,0.2518665471006196
Honduras,HND,2015,10347979.0,9294505,North America,1.1133437445028003
Hong Kong,HKG,2015,42399920.0,7399838,Asia,5.729844356052119
Hungary,HUN,2015,46717404.0,9844246,Europe,4.745655888729314
Iceland,ISL,2015,3543713.0,331060,Europe,10.704141243279164
India,IND,2015,2234219500.0,1322866505,Asia,1.6889228743455107
Indonesia,IDN,2015,539149250.0,259091970,Asia,2.0809184090112867
Iran,IRN,2015,631581200.0,81790841,Asia,7.721906172843974
Iraq,IRQ,2015,141986560.0,37757813,Asia,3.7604550877986496
Ireland,IRL,2015,38718548.0,4665760,Europe,8.298443983402489
Israel,ISR,2015,62939140.0,8007778,Asia,7.859750857229059
Italy,ITA,2015,361935900.0,60232906,Europe,6.008939698177604
Jamaica,JAM,2015,7998908.0,2794445,North America,2.862431717210394
Japan,JPN,2015,1223168600.0,127250933,Asia,9.612256438229808
Jordan,JOR,2015,25549898.0,9494246,Asia,2.6910928998469177
Kazakhstan,KAZ,2015,278661280.0,17835909,Asia,15.623609651742449
Kenya,KEN,2015,16998498.0,46851488,Africa,0.362816608941001
Kiribati,KIR,2015,54960.0,116707,Oceania,0.4709229095084271
Kuwait,KWT,2015,93660650.0,3908743,Asia,23.96183376599587
Kyrgyzstan,KGZ,2015,10264781.0,5914980,Asia,1.7353872709628773
Laos,LAO,2015,9229252.0,6787419,Asia,1.3597586947262281
Latvia,LVA,2015,7263453.0,1991955,Europe,3.6463941203491044
Lebanon,LBN,2015,25734552.0,6398940,Asia,4.021689842380145
Lesotho,LSO,2015,2242368.0,2118521,Africa,1.0584591797768348
Liberia,LBR,2015,467217.0,4612329,Africa,0.10129741395290752
Libya,LBY,2015,54550704.0,6192235,Africa,8.809533875894568
Liechtenstein,LIE,2015,159774.0,37355,Europe,4.277178423236514
Lithuania,LTU,2015,13055458.0,2963765,Europe,4.405024689879259
Luxembourg,LUX,2015,9350996.0,569408,Europe,16.422312296279646
Macao,MAC,2015,1769712.0,615239,Asia,2.8764626429728937
Madagascar,MDG,2015,3227484.0,24850912,Africa,0.12987386539375295
Malawi,MWI,2015,1082885.0,16938942,Africa,0.06392872707161994
Malaysia,MYS,2015,235505740.0,31068833,Asia,7.5801282912686165
Maldives,MDV,2015,1278736.0,435582,Asia,2.9356952307487454
Mali,MLI,2015,3281577.0,18112907,Africa,0.1811734030324343
Malta,MLT,2015,1665293.0,456579,Europe,3.64732718762799
Marshall Islands,MHL,2015,142896.0,49410,Oceania,2.892046144505161
Mauritania,MRT,2015,3002486.0,3946220,Africa,0.7608511436260522
Mauritius,MUS,2015,4209936.0,1293153,Africa,3.255559086975787
Mexico,MEX,2015,479519780.0,120149897,North America,3.9910128262531925
Micronesia (country),FSM,2015,142896.0,109462,Oceania,1.3054393305439331
Moldova,MDA,2015,4781760.0,3277388,Europe,1.45901553310136
Mongolia,MNG,2015,23282274.0,2964749,Asia,7.853033764409735
Montenegro,MNE,2015,2238704.0,633966,Europe,3.531268238359786
Montserrat,MSR,2015,54960.0,5059,North America,10.86380707649733
Morocco,MAR,2015,58495180.0,34680458,Africa,1.686689950865124
Mozambique,MOZ,2015,6730608.0,26843246,Africa,0.2507374853249864
Myanmar,MMR,2015,21887144.0,51483949,Asia,0.4251255862288264
Namibia,NAM,2015,3851304.0,2282704,Africa,1.6871674995969692
Nauru,NRU,2015,54960.0,11185,Oceania,4.913723737147966
Nepal,NPL,2015,6904657.0,27610325,Asia,0.25007518020885305
Netherlands,NLD,2015,163802240.0,17041107,Europe,9.61218305829545
New Caledonia,NCL,2015,4876909.0,283032,Oceania,17.230945617456683
New Zealand,NZL,2015,35812136.0,4590590,Oceania,7.801205509531455
Nicaragua,NIC,2015,5430953.0,6298598,North America,0.8622479161235563
Niger,NER,2015,2206060.0,20128124,Africa,0.10960087487537339
Nigeria,NGA,2015,109217160.0,183995785,Africa,0.5935851193547722
Niue,NIU,2015,7328.0,1847,Oceania,3.967514889009204
North Korea,PRK,2015,24623532.0,25258015,Asia,0.974879934151595
North Macedonia,MKD,2015,6756554.0,2107962,Europe,3.2052541744111136
Norway,NOR,2015,45494000.0,5190356,Europe,8.765102046950151
Oman,OMN,2015,67376190.0,4191776,Asia,16.07342329361111
Pakistan,PAK,2015,166432900.0,210969298,Asia,0.7888963066085568
Palau,PLW,2015,205184.0,17794,Oceania,11.531077891424076
Palestine,PSE,2015,3005733.0,4484614,Asia,0.6702322652518143
Panama,PAN,2015,10788440.0,3957099,North America,2.7263507938517586
Papua New Guinea,PNG,2015,6638563.0,8682174,Oceania,0.7646198981960048
Paraguay,PRY,2015,6047637.0,6177950,South America,0.9789067570958004
Peru,PER,2015,49227884.0,30711863,South America,1.6028947511259737
Philippines,PHL,2015,112449144.0,103031365,Asia,1.0914069128366881
Poland,POL,2015,312715420.0,38553146,Europe,8.111281502163273
Portugal,PRT,2015,52203440.0,10365435,Europe,5.036299971974162
Qatar,QAT,2015,91194280.0,2414573,Asia,37.76828449585082
Romania,ROU,2015,78031910.0,19906079,Europe,3.920004034948319
Russia,RUS,2015,1638675300.0,144668389,Europe,11.327113762219334
Rwanda,RWA,2015,970183.0,11642959,Africa,0.08332787223591528
Saint Kitts and Nevis,KNA,2015,234496.0,47790,North America,4.906800585896631
Saint Lucia,LCA,2015,479984.0,175623,North America,2.733036105749247
Saint Pierre and Miquelon,SPM,2015,65952.0,5978,North America,11.032452325192372
Saint Vincent and the Grenadines,VCT,2015,234496.0,106482,North America,2.2022125805300425
Samoa,WSM,2015,227168.0,203571,Oceania,1.1159153317515755
Sao Tome and Principe,STP,2015,135568.0,201124,Africa,0.6740518287225791
Saudi Arabia,SAU,2015,678849300.0,32749848,Asia,20.728319105481038
Senegal,SEN,2015,9845416.0,14356181,Africa,0.6857963131002598
Serbia,SRB,2015,43773750.0,7519496,Europe,5.821367549101695
Seychelles,SYC,2015,498304.0,99240,Africa,5.021201128577187
Sierra Leone,SLE,2015,1084544.0,7314773,Africa,0.14826762224883808
Singapore,SGP,2015,61925264.0,5650018,Asia,10.960188799398516
Sint Maarten (Dutch part),SXM,2015,743792.0,40205,North America,18.499987563735854
Slovakia,SVK,2015,34471936.0,5424444,Europe,6.354925223672693
Slovenia,SVN,2015,13645485.0,2080862,Europe,6.557611701304555
Solomon Islands,SLB,2015,293120.0,612660,Oceania,0.4784382855090915
Somalia,SOM,2015,630208.0,13763906,Africa,0.04578700261393823
South Africa,ZAF,2015,446221020.0,55876504,Africa,7.985843566734239
South Korea,KOR,2015,634177300.0,50994401,Asia,12.436214320862403
South Sudan,SSD,2015,1912608.0,11194299,Africa,0.17085553994939745
Spain,ESP,2015,270767460.0,46431342,Europe,5.831566531072912
Sri Lanka,LKA,2015,19687388.0,21336697,Asia,0.9227008285303016
Sudan,SDN,2015,21189514.0,38171178,Africa,0.5551181574747314
Suriname,SUR,2015,2713354.0,575475,South America,4.714981536991181
Sweden,SWE,2015,43418744.0,9849349,Europe,4.408285664362182
Switzerland,CHE,2015,38725590.0,8281732,Europe,4.676025498047993
Syria,SYR,2015,28603272.0,19205178,Asia,1.4893520903581314
Taiwan,TWN,2015,275868000.0,23512136,Asia,11.73300460664229
Tajikistan,TJK,2015,5302282.0,8524063,Asia,0.6220369323877593
Tanzania,TZA,2015,9723330.0,52542823,Africa,0.1850553404791364
Thailand,THA,2015,277098700.0,70294397,Asia,3.9419742088405707
Togo,TGO,2015,1863341.0,7473229,Africa,0.2493354612845398
Tonga,TON,2015,117248.0,106122,Oceania,1.1048415974067582
Trinidad and Tobago,TTO,2015,45559680.0,1460177,North America,31.201477629081953
Tunisia,TUN,2015,31418044.0,11557779,Africa,2.718346145916097
Turkey,TUR,2015,384929660.0,79646178,Asia,4.832996003901154
Turkmenistan,TKM,2015,64322776.0,5766431,Asia,11.154694472196061
Turks and Caicos Islands,TCA,2015,311440.0,36538,North America,8.523728720783842
Tuvalu,TUV,2015,10992.0,10877,Oceania,1.010572768226533
Uganda,UGA,2015,4525570.0,37477356,Africa,0.12075478323497528
Ukraine,UKR,2015,223787570.0,44982564,Europe,4.974984751869636
United Arab Emirates,ARE,2015,225683650.0,8916899,Asia,25.309656417550542
United Kingdom,GBR,2015,422460800.0,65224364,Europe,6.4770397761180165
United States,USA,2015,5376473000.0,324607776,North America,16.562982767239685
Uruguay,URY,2015,6742026.0,3402818,South America,1.9813066699423831
Uzbekistan,UZB,2015,103695920.0,30949417,Asia,3.350496715333927
Vanuatu,VUT,2015,135568.0,276438,Oceania,0.49041014621723494
Venezuela,VEN,2015,165853100.0,30529716,South America,5.43251368601005
Vietnam,VNM,2015,215461950.0,92191398,Asia,2.3371155517134037
Wallis and Futuna,WLF,2015,21984.0,12182,Oceania,1.80462978164505
Yemen,YEM,2015,14083540.0,28516545,Asia,0.49387259220918944
Zambia,ZMB,2015,5064975.0,16248230,Africa,0.31172472324677825
Zimbabwe,ZWE,2015,12254954.0,14154937,Africa,0.8657724156596388
Afghanistan,AFG,2020,11888066.0,38972230,Asia,0.3050394088303389
Albania,ALB,2020,5018921.0,2866849,Europe,1.7506750442733467
Algeria,DZA,2020,169892770.0,43451666,Africa,3.9099253409524044
Andorra,AND,2020,373728.0,77700,Europe,4.80988416988417
Angola,AGO,2020,16764786.0,33428485,Africa,0.5015119889519373
Anguilla,AIA,2020,142896.0,15585,North America,9.168816169393647
