Entity,Code,Year,Annual CO2 emissions,Country/Territory,2022 Population,Continent,Growth Rate,Emissions_per_Capita
Solomon Islands,SLB,2022,298633.0,Solomon Islands,724273,Oceania,1.0232,0.41232104468895014
Somalia,SOM,2022,646921.0,Somalia,17597511,Africa,1.0312,0.036762073909202275
South Africa,ZAF,2022,404053980.0,South Africa,59893885,Africa,1.0084,6.746164153485786
South Korea,KOR,2022,600999360.0,South Korea,51815810,Asia,0.9997,11.598764160977122
South Sudan,SSD,2022,1833605.0,South Sudan,10913164,Africa,1.0153,0.16801772611499285
Spain,ESP,2022,245613820.0,Spain,47558630,Europe,1.0015,5.164442709977138
Sri Lanka,LKA,2022,17327094.0,Sri Lanka,21832143,Asia,1.0027,0.79365062788385
Sudan,SDN,2022,22013348.0,Sudan,46874204,Africa,1.0267,0.4696260655434277
Suriname,SUR,2022,3586520.0,Suriname,618040,South America,1.0082,5.803054818458352
Sweden,SWE,2022,38050544.0,Sweden,10549347,Europe,1.0079,3.606909887408197
Switzerland,CHE,2022,35380164.0,Switzerland,8740472,Europe,1.0056,4.047855081510472
Syria,SYR,2022,27635256.0,Syria,22125249,Asia,1.0376,1.2490370616845938
Taiwan,TWN,2022,277900930.0,Taiwan,23893394,Asia,1.0014,11.630868766488344
Tajikistan,TJK,2022,10017384.0,Tajikistan,9952787,Asia,1.0208,1.0064903428557248
Tanzania,TZA,2022,15569999.0,Tanzania,65497748,Africa,1.03,0.23771808154381124
Thailand,THA,2022,270746370.0,Thailand,71697030,Asia,1.0013,3.7762564223371595
Togo,TGO,2022,2575560.0,Togo,8848699,Africa,1.0236,0.2910665172360366
Tonga,TON,2022,189008.0,Tonga,106858,Oceania,1.0079,1.7687772557974133
Trinidad and Tobago,TTO,2022,34331736.0,Trinidad and Tobago,1531044,North America,1.0035,22.42374223079154
Tunisia,TUN,2022,35576780.0,Tunisia,12356117,Africa,1.0076,2.8792848109159213
Turkey,TUR,2022,435684600.0,Turkey,85341241,Asia,1.0067,5.10520581719687
Turkmenistan,TKM,2022,70958350.0,Turkmenistan,6430770,Asia,1.014,11.034191861938773
Turks and Caicos Islands,TCA,2022,349200.0,Turks and Caicos Islands,45703,North America,1.0131,7.640636282082139
Tuvalu,TUV,2022,11340.0,Tuvalu,11312,Oceania,1.0096,1.0024752475247525
Uganda,UGA,2022,6021782.0,Uganda,47249585,Africa,1.0304,0.12744624106222308
Ukraine,UKR,2022,141253000.0,Ukraine,39701739,Europe,0.912,3.557854229004931
United Arab Emirates,ARE,2022,243895220.0,United Arab Emirates,9441129,Asia,1.0081,25.833268457617727
United Kingdom,GBR,2022,318654370.0,United Kingdom,67508936,Europe,1.0034,4.720180599498709
United States,USA,2022,5057303600.0,United States,338289857,North America,1.0038,14.949616417260776
Uruguay,URY,2022,7893098.0,Uruguay,3422794,South America,0.999,2.3060394519798737
Uzbekistan,UZB,2022,120610190.0,Uzbekistan,34627652,Asia,1.016,3.483060012269963
Vanuatu,VUT,2022,207909.0,Vanuatu,326740,Oceania,1.0238,0.6363132766113729
Venezuela,VEN,2022,76892000.0,Venezuela,28301696,South America,1.0036,2.716868981986097
Vietnam,VNM,2022,343606620.0,Vietnam,98186856,Asia,1.0074,3.499517491424718
Wallis and Futuna,WLF,2022,26461.0,Wallis and Futuna,11572,Oceania,0.9953,2.2866401659177327
Yemen,YEM,2022,11356347.0,Yemen,33696614,Asia,1.0217,0.33701745225796276
Zambia,ZMB,2022,8921889.0,Zambia,20017675,Africa,1.028,0.4457005621282192
Zimbabwe,ZWE,2022,8855981.0,Zimbabwe,16320537,Africa,1.0204,0.5426280397513881
