latitude,longitude,total_frp,avg_frp,max_frp,fire_count,avg_brightness,max_brightness,acq_datetime_min,acq_datetime_max,fire_intensity_score
-41.900000000000006,146.6,8.0,4.0,6.2,2,329.7,331.1,2019-10-05 04:06:00,2019-10-05 04:06:00,0.0
-41.900000000000006,147.35,4.7,2.35,3.9,2,300.75,301.4,2019-09-05 04:09:00,2019-10-02 14:42:00,0.0
-41.85,145.35,109.8,21.96,38.4,5,343.12,355.8,2019-10-01 05:18:00,2019-10-01 05:18:00,0.1
-41.85,145.4,74.4,37.2,38.4,2,355.65,367.0,2019-10-01 05:18:00,2019-10-01 05:18:00,0.1
-41.85,147.05,5.9,2.95,3.1,2,316.45,318.7,2019-10-05 15:24:00,2019-10-05 15:24:00,0.0
-41.85,147.8,3.5,3.5,3.5,1,340.6,340.6,2019-09-03 04:06:00,2019-09-03 04:06:00,0.0
-41.800000000000004,145.05,6.5,2.17,3.4,3,318.47,336.3,2019-10-27 15:12:00,2019-10-28 14:54:00,0.0
-41.800000000000004,147.55,16.8,4.2,6.2,4,331.1,335.6,2020-01-28 03:06:00,2020-01-28 03:06:00,0.0
-41.800000000000004,147.65,19.2,6.4,9.9,3,314.83,331.1,2019-09-02 04:25:00,2019-09-05 04:09:00,0.0
-41.800000000000004,147.70000000000002,20.9,4.18,6.9,5,317.16,337.5,2019-09-19 00:09:00,2019-09-19 04:21:00,0.0
-41.800000000000004,147.8,7.6,3.8,3.8,2,334.0,341.3,2019-09-04 03:47:00,2019-09-04 03:47:00,0.0
-41.800000000000004,147.9,3.9,3.9,3.9,1,332.8,332.8,2019-09-03 04:06:00,2019-09-03 04:06:00,0.0
-41.800000000000004,147.95000000000002,1.2,1.2,1.2,1,301.3,301.3,2019-09-05 14:51:00,2019-09-05 14:51:00,0.0
-41.75,147.15,5.8,2.9,4.0,2,339.9,347.9,2019-10-21 04:06:00,2019-11-14 04:54:00,0.0
-41.75,148.0,724.5,12.08,104.8,60,328.66,367.0,2020-01-05 23:35:00,2020-01-13 15:54:00,0.8
-41.75,148.05,740.2,13.71,193.5,54,325.66,367.0,2020-01-03 12:45:00,2020-01-14 04:06:00,0.8
-41.7,147.3,17.8,3.56,5.1,5,332.06,340.6,2019-09-10 03:34:00,2019-09-25 03:53:00,0.0
-41.7,147.75,1.6,1.6,1.6,1,330.1,330.1,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-41.7,148.0,9105.6,40.29,507.5,226,335.22,425.8,2019-12-31 04:27:00,2020-01-09 04:00:00,10.2
-41.7,148.05,5387.0,24.82,523.5,217,329.47,434.5,2019-12-31 03:30:00,2020-01-06 14:42:00,6.0
-41.7,148.1,213.5,6.1,94.6,35,317.53,356.1,2019-12-31 14:54:00,2020-01-06 14:42:00,0.2
-41.650000000000006,145.6,28.9,7.22,13.5,4,328.02,348.9,2019-09-30 04:00:00,2019-09-30 04:03:00,0.0
-41.650000000000006,146.8,9.6,4.8,4.8,2,336.4,341.7,2019-09-08 04:12:00,2019-09-08 04:12:00,0.0
-41.650000000000006,147.75,194.1,64.7,98.8,3,319.8,331.2,2019-10-21 04:06:00,2020-01-17 05:10:00,0.2
-41.650000000000006,147.8,864.3,25.42,143.6,34,335.24,367.0,2020-01-09 04:20:00,2020-01-13 13:20:00,1.0
-41.650000000000006,147.85,2274.1,26.14,353.8,87,329.91,394.1,2020-01-12 03:06:00,2020-01-17 04:54:00,2.6
-41.650000000000006,147.9,278.9,12.68,42.7,22,338.09,367.0,2019-12-31 03:30:00,2020-01-02 04:36:00,0.3
-41.650000000000006,147.95000000000002,1189.1,23.32,109.6,51,338.15,367.0,2019-12-31 00:15:00,2020-01-01 14:36:00,1.3
-41.650000000000006,148.0,4869.8,23.76,333.4,205,335.01,408.0,2019-12-31 03:30:00,2020-01-09 04:20:00,5.5
-41.650000000000006,148.05,8281.7,37.14,818.9,223,339.68,451.9,2019-12-31 15:33:00,2020-01-29 04:30:00,9.3
-41.650000000000006,148.1,243.2,12.16,60.6,20,323.94,354.5,2019-12-31 15:33:00,2020-01-13 04:30:00,0.3
-41.650000000000006,148.20000000000002,9.6,9.6,9.6,1,309.0,309.0,2019-09-03 04:21:00,2019-09-03 04:21:00,0.0
-41.6,145.95000000000002,13.4,13.4,13.4,1,345.3,345.3,2019-09-18 04:25:00,2019-09-18 04:25:00,0.0
-41.6,146.35,28.1,4.01,11.9,7,325.9,367.0,2019-10-21 13:48:00,2019-10-23 05:06:00,0.0
-41.6,146.4,29.1,7.28,18.2,4,326.75,349.1,2019-10-21 15:24:00,2019-10-23 05:06:00,0.0
-41.6,146.5,12.6,3.15,4.4,4,330.5,343.2,2019-11-14 04:54:00,2019-11-19 05:00:00,0.0
-41.6,146.6,3.6,0.9,1.0,4,301.3,305.8,2019-09-29 15:42:00,2019-12-05 14:42:00,0.0
-41.6,146.75,14.7,4.9,5.1,3,334.63,340.0,2019-09-30 04:00:00,2019-10-25 04:30:00,0.0
-41.6,146.85,11.2,5.6,6.6,2,332.25,333.4,2019-10-22 03:42:00,2019-10-22 05:24:00,0.0
-41.6,147.0,3.4,3.4,3.4,1,341.2,341.2,2019-11-18 03:36:00,2019-11-18 03:36:00,0.0
-41.6,147.05,18.2,9.1,15.5,2,330.45,332.6,2020-01-02 04:15:00,2020-01-02 04:36:00,0.0
-41.6,147.1,8.0,8.0,8.0,1,322.8,322.8,2020-01-02 04:15:00,2020-01-02 04:15:00,0.0
-41.6,147.3,1.6,1.6,1.6,1,329.0,329.0,2019-10-02 03:18:00,2019-10-02 03:18:00,0.0
-41.6,147.75,40.8,3.71,5.8,11,325.81,342.0,2020-01-16 14:54:00,2020-01-30 15:30:00,0.0
-41.6,147.8,10467.7,24.63,428.1,425,331.63,375.9,2020-01-03 03:20:00,2020-01-30 15:45:00,11.7
-41.6,147.85,9701.4,26.08,340.1,372,332.81,387.6,2019-12-31 03:30:00,2020-01-17 04:54:00,10.9
-41.6,147.9,1173.6,18.63,131.9,63,332.72,368.0,2019-12-31 03:30:00,2020-01-01 14:36:00,1.3
-41.6,147.95000000000002,6462.3,28.72,275.5,225,338.1,393.1,2019-12-31 00:15:00,2020-01-06 14:42:00,7.2
-41.6,148.0,211.0,70.33,111.0,3,339.83,351.8,2020-01-01 00:55:00,2020-01-02 04:36:00,0.2
-41.6,148.15,185.6,92.8,115.7,2,345.85,351.4,2020-01-30 04:40:00,2020-01-30 04:40:00,0.2
-41.6,148.20000000000002,49.5,7.07,15.4,7,321.13,337.3,2019-09-02 04:25:00,2019-09-17 00:21:00,0.1
-41.550000000000004,145.75,541.0,17.45,30.9,31,355.57,367.0,2019-10-23 03:24:00,2019-10-23 05:06:00,0.6
-41.550000000000004,145.8,18.5,18.5,18.5,1,367.0,367.0,2019-10-23 03:24:00,2019-10-23 03:24:00,0.0
-41.550000000000004,146.4,4.1,2.05,2.1,2,330.75,331.5,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-41.550000000000004,146.55,3.8,3.8,3.8,1,332.6,332.6,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-41.550000000000004,146.70000000000002,10.1,3.37,5.8,3,318.53,342.6,2019-09-10 14:58:00,2019-10-02 03:18:00,0.0
-41.550000000000004,146.95000000000002,10.0,5.0,6.8,2,356.3,367.0,2019-10-02 03:18:00,2020-01-17 03:12:00,0.0
-41.550000000000004,147.20000000000002,1.6,1.6,1.6,1,327.6,327.6,2019-10-13 04:54:00,2019-10-13 04:54:00,0.0
-41.550000000000004,147.5,0.4,0.4,0.4,1,300.3,300.3,2019-09-18 15:48:00,2019-09-18 15:48:00,0.0
-41.550000000000004,147.75,107.0,4.86,33.6,22,318.34,367.0,2020-01-13 14:12:00,2020-01-30 12:25:00,0.1
-41.550000000000004,147.8,2178.5,12.52,202.9,174,326.67,370.2,2019-12-06 04:33:00,2020-01-30 15:30:00,2.4
-41.550000000000004,147.85,3838.7,27.82,569.3,138,333.58,426.0,2019-11-18 15:00:00,2020-01-06 14:42:00,4.3
-41.550000000000004,147.9,10997.9,47.82,697.2,230,338.18,446.7,2019-12-30 15:12:00,2020-01-06 14:42:00,12.3
-41.550000000000004,147.95000000000002,17133.7,77.88,1617.1,220,339.02,500.4,2019-12-31 12:14:00,2020-01-03 15:36:00,19.2
-41.550000000000004,148.0,515.3,515.3,515.3,1,358.0,358.0,2020-01-01 00:55:00,2020-01-01 00:55:00,0.6
-41.550000000000004,148.25,113.0,9.42,31.1,12,325.14,349.3,2019-09-16 14:45:00,2019-09-19 04:21:00,0.1
-41.5,145.6,27.3,4.55,6.5,6,337.83,354.1,2019-10-23 05:06:00,2019-10-23 05:06:00,0.0
-41.5,145.75,179.1,11.19,22.0,16,350.82,367.0,2019-10-23 03:24:00,2019-10-23 05:06:00,0.2
-41.5,145.8,34.3,8.57,18.5,4,340.78,355.6,2019-10-23 03:24:00,2019-10-23 05:06:00,0.0
-41.5,146.3,107.1,17.85,80.3,6,331.02,344.8,2019-10-08 04:48:00,2019-10-15 15:42:00,0.1
-41.5,146.35,160.9,80.45,80.6,2,334.0,340.6,2019-10-08 04:48:00,2019-10-08 04:48:00,0.2
-41.5,146.55,9.1,3.03,3.8,3,330.5,334.2,2019-09-17 04:44:00,2019-10-21 04:06:00,0.0
-41.5,146.65,9.6,4.8,4.8,2,337.9,338.7,2019-10-01 03:36:00,2019-10-01 03:36:00,0.0
-41.5,147.05,39.2,6.53,22.7,6,322.22,339.3,2019-10-07 03:24:00,2019-10-24 03:06:00,0.0
-41.5,147.1,2.1,2.1,2.1,1,329.6,329.6,2019-09-30 04:00:00,2019-09-30 04:00:00,0.0
-41.5,147.35,2.9,2.9,2.9,1,335.8,335.8,2019-12-29 04:12:00,2019-12-29 04:12:00,0.0
-41.5,147.5,788.9,23.2,300.4,34,327.11,400.4,2019-09-17 00:21:00,2019-11-16 04:18:00,0.9
-41.5,147.75,1.7,1.7,1.7,1,313.7,313.7,2019-12-06 14:24:00,2019-12-06 14:24:00,0.0
-41.5,147.8,260.9,43.48,232.2,6,318.43,355.4,2019-12-06 04:42:00,2019-12-06 16:06:00,0.3
-41.5,147.9,2583.4,21.53,277.3,120,324.86,379.7,2019-09-01 14:26:00,2019-11-20 23:26:00,2.9
-41.5,147.95000000000002,1200.9,23.09,139.3,52,332.29,367.0,2019-11-16 12:45:00,2019-11-21 04:24:00,1.3
-41.45,145.75,10.7,5.35,6.3,2,336.6,345.6,2019-10-23 03:24:00,2019-10-23 03:24:00,0.0
-41.45,145.8,9.7,4.85,5.3,2,333.6,337.1,2019-10-23 03:24:00,2019-10-23 03:24:00,0.0
-41.45,146.75,14.7,4.9,8.1,3,323.37,336.3,2019-10-21 04:06:00,2019-12-04 00:33:00,0.0
-41.45,147.05,2.3,2.3,2.3,1,325.5,325.5,2019-09-14 04:00:00,2019-09-14 04:00:00,0.0
-41.45,147.15,1.6,1.6,1.6,1,337.1,337.1,2020-01-02 04:36:00,2020-01-02 04:36:00,0.0
-41.45,147.9,325.7,46.53,75.7,7,348.11,367.0,2019-11-19 03:18:00,2019-11-19 03:18:00,0.4
-41.400000000000006,145.65,17.0,8.5,13.8,2,350.15,367.0,2019-10-23 05:06:00,2019-10-23 05:06:00,0.0
-41.400000000000006,145.75,3.8,3.8,3.8,1,338.8,338.8,2019-10-23 03:24:00,2019-10-23 03:24:00,0.0
-41.400000000000006,145.8,2.2,2.2,2.2,1,326.1,326.1,2019-10-23 03:24:00,2019-10-23 03:24:00,0.0
-41.400000000000006,146.3,2.1,2.1,2.1,1,325.2,325.2,2019-09-04 03:47:00,2019-09-04 03:47:00,0.0
-41.400000000000006,146.4,8.7,8.7,8.7,1,342.3,342.3,2020-01-09 04:00:00,2020-01-09 04:00:00,0.0
-41.400000000000006,146.45000000000002,3.6,3.6,3.6,1,338.5,338.5,2020-01-30 04:06:00,2020-01-30 04:06:00,0.0
-41.400000000000006,146.6,6.2,6.2,6.2,1,340.7,340.7,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-41.400000000000006,146.65,2.7,2.7,2.7,1,330.1,330.1,2019-10-13 04:54:00,2019-10-13 04:54:00,0.0
-41.400000000000006,146.8,2.7,2.7,2.7,1,315.6,315.6,2019-10-08 14:30:00,2019-10-08 14:30:00,0.0
-41.400000000000006,146.9,7.2,7.2,7.2,1,337.3,337.3,2019-10-21 04:06:00,2019-10-21 04:06:00,0.0
-41.400000000000006,146.95000000000002,5.4,2.7,3.6,2,332.95,339.2,2019-09-02 04:25:00,2019-09-03 04:06:00,0.0
-41.400000000000006,147.0,1.4,1.4,1.4,1,307.0,307.0,2019-10-23 14:48:00,2019-10-23 14:48:00,0.0
-41.400000000000006,147.05,15.1,5.03,7.3,3,343.17,356.0,2019-10-12 03:30:00,2019-10-13 04:54:00,0.0
-41.400000000000006,147.15,1.0,1.0,1.0,1,306.0,306.0,2019-10-17 15:00:00,2019-10-17 15:00:00,0.0
-41.400000000000006,147.3,5.4,5.4,5.4,1,330.3,330.3,2019-09-19 04:06:00,2019-09-19 04:06:00,0.0
-41.35,146.4,3.9,3.9,3.9,1,328.7,328.7,2019-09-16 03:22:00,2019-09-16 03:22:00,0.0
